strDrink,strCategory,strGlass,strIngredients,Basic_taste,strInstructions
Mai Tai,Ordinary Drink,Collins glass,"['Cherry', 'Orgeat Syrup', 'Sweet And Sour']",sweet,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.
Malibu Twister,Cocktail,Highball glass,"['Cranberry Juice', 'Tropicana']",sweet,"Add rum & trister then, add cranberry jucie,stir"
Manhattan,Cocktail,Cocktail glass,"['Maraschino Cherry', 'Orange Peel']",sweet,"Stirred over ice, strained into a chilled glass, garnished, and served up."
Margarita,Ordinary Drink,Cocktail glass,"['Lime Juice', 'Salt']",salty,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
Martinez Cocktail,Cocktail,Cocktail glass,['Cherry'],sweet,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Martini,Cocktail,Cocktail glass,['Olive'],salty,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Mary Pickford,Cocktail,Cocktail glass,"['Maraschino Cherry', 'Pineapple Juice', 'Grenadine']",sweet,Shake and strain into a chilled large cocktail glass
Miami Vice,Cocktail,Cocktail glass,"['Pina Colada Mix', 'Daiquiri Mix']",sweet,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
Midnight Cowboy,Ordinary Drink,Cocktail glass,['Heavy Cream'],cream,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Midnight Manx,Ordinary Drink,Old-fashioned glass,"['Heavy Cream', 'Coffee Hazlenut']",bitter,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!"
Midnight Mint,Cocktail,Cocktail glass,['Cream Double'],cream,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass."
Mimosa,Ordinary Drink,Champagne flute,['Orange Juice'],sweet,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
Mississippi Planters Punch,Ordinary Drink,Collins glass,"['Powdered Sugar', 'Lemon', 'Carbonated Water']",water,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve."
Mocha-Berry,Coffee / Tea,Irish coffee cup,"['Coffee', 'Cocoa Powder', 'Whipped Cream']",cream,"pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream."
Mojito,Cocktail,Highball glass,"['Sugar', 'Mint', 'Lime', 'Soda Water']",sweet,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Mojito #3,Cocktail,Collins glass,"['Club Soda', 'Lemon Juice', 'Mint']",mint,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
Monkey Gland,Ordinary Drink,Cocktail glass,"['Grenadine', 'Orange Juice']",sweet,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass."
Monkey Wrench,Ordinary Drink,Old-fashioned glass,['Grapefruit Juice'],bitter,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.
Moranguito,Shot,Shot glass,['Grenadine'],sweet,"first you put rhe absinthe, then put tequila, then put the Granadine syrup."
Moscow Mule,Punch / Party Drink,Copper Mug,"['Lime Juice', 'Ginger Ale']",sweet,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
Mother's Milk,Shot,Shot glass,['Milk'],cream,"Shake over ice, strain. Serves two."
Mudslinger,Punch / Party Drink,Punch bowl,"['Orange Juice', 'Pepsi Cola']",sweet,Add all contents to a large jug or punch bowl. Stir well!
Mulled Wine,Punch / Party Drink,Collins Glass,"['Water', 'Cinnamon', 'Cloves', 'Lemon Peel', 'Sugar']",sweet,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy."
National Aquarium,Ordinary Drink,Collins Glass,"['Sour Mix', 'Lemon-Lime Soda']",sweet,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.
New York Lemonade,Cocktail,Cocktail glass,"['Club Soda', 'Lemon Juice Sweetened']",sour,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.
New York Sour,Ordinary Drink,Whiskey sour glass,"['Cherry', 'Sugar', 'Lemon', 'Lemon']",sour,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve."
Nutty Irishman,Milk / Float / Shake,Highball Glass,['Milk'],cream,Serve over ice
Old Fashioned,Cocktail,Old-fashioned glass,"['Water', 'Sugar']",sweet,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry."
Orange Crush,Shot,Shot glass,['Orange Juice'],sweet,Add all ingredients to tumbler-Pour as shot
Orange Oasis,Ordinary Drink,Highball glass,"['Orange Juice', 'Ginger Ale']",sweet,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve."
Orange Push-up,Ordinary Drink,Hurricane glass,"['Orange Juice', 'Grenadine', 'Sour Mix']",sour,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!
Orange Whip,Other/Unknown,Collins Glass,"['Orange Juice', 'Cream']",cream,Pour ingredients over ice and stir.
Oreo Mudslide,Ordinary Drink,Collins Glass,"['Vanilla Ice-Cream', 'Oreo Cookie']",cream,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry."
Orgasm,Ordinary Drink,Cocktail glass,['Light Cream'],cream,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
Owen's Grandmother's Revenge,Ordinary Drink,Highball glass,['Lemonade Frozen'],sour,Add ingredients and mix in blender.
Paradise,Ordinary Drink,Cocktail glass,['Orange Juice'],sweet,Shake together over ice. Strain into cocktail glass and serve chilled.
Pina Colada,Ordinary Drink,Collins glass,"['Coconut Milk', 'Pineapple']",sweet,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
Pink Lady,Ordinary Drink,Cocktail glass,"['Egg White', 'Grenadine', 'Light Cream']",cream,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Pink Panty Pulldowns,Ordinary Drink,Collins Glass,"['Sprite', 'Pink Lemonade']",sour,Shake well
Pink Penocha,Punch / Party Drink,Punch bowl,"['Cranberry Juice', 'Orange Juice']",sweet,mix all ingredients into bowl keep iced stir frequently
Pisco Sour,Cocktail,Cocktail glass,"['Lemon Juice', 'Sugar']",sweet,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]"
Planter's Punch,Punch / Party Drink,Collins glass,"['Orange Juice', 'Orgeat Syrup', 'Pineapple Juice']",sweet,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple."
Popped cherry,Ordinary Drink,Highball glass,"['Cranberry Juice', 'Orange Juice']",sweet,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!
Port And Starboard,Ordinary Drink,Pousse cafe glass,['Grenadine'],sweet,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing."
Port Wine Flip,Ordinary Drink,Whiskey sour glass,"['Nutmeg', 'Powdered Sugar', 'Light Cream', 'Egg']",egg,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
Porto flip,Ordinary Drink,Cocktail glass,['Egg Yolk'],egg,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve."
Quaker's Cocktail,Ordinary Drink,Cocktail glass,"['Lemon', 'Raspberry Syrup']",sweet,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Quarter Deck Cocktail,Ordinary Drink,Cocktail glass,"['Lime', 'Sherry Cream']",cream,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Queen Bee,Ordinary Drink,Cocktail glass,['Sherry Cream'],cream,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Queen Charlotte,Ordinary Drink,Collins glass,"['Lemon-Lime Soda', 'Grenadine']",sweet,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve."
Quentin,Ordinary Drink,Cocktail glass,"['Light Cream', 'Nutmeg Grated']",spicy,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg."
Quick-sand,Ordinary Drink,Highball glass,['Orange Juice'],sweet,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!"
Radler,Ordinary Drink,Highball glass,['7-Up'],sweet,"Pour beer into large mug, slowly add the 7-up (or Sprite)."
Raspberry Cooler,Other/Unknown,Highball glass,['Lemon-Lime Soda'],sweet,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.
Red Snapper,Shot,Old-fashioned glass,['Cranberry Juice'],sour,"One shot each, shake n shoot"
Rose,Ordinary Drink,Cocktail glass,"['Grenadine', 'Lemon Juice', 'Powdered Sugar']",sweet,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve."
Royal Fizz,Ordinary Drink,Collins glass,"['Egg', 'Coca-Cola', 'Sweet And Sour']",sweet,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.
Royal Flush,Shot,Old-fashioned glass,['Cranberry Juice'],sour,Pour all the ingredients into tumbler over ice. Strain into glass.
Royal Gin Fizz,Ordinary Drink,Highball glass,"['Egg', 'Carbonated Water', 'Lemon', 'Powdered Sugar']",sweet,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Ruby Tuesday,Cocktail,Highball glass,"['Cranberry Juice', 'Grenadine']",sweet,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.
Rum Cobbler,Ordinary Drink,Old-fashioned glass,"['Lemon', 'Sugar Superfine', 'Club Soda', 'Orange', 'Maraschino Cherry']",sweet,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices."
Rum Cooler,Ordinary Drink,Collins glass,"['Lemon', 'Lemon-Lime Soda']",sweet,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.
Rum Milk Punch,Ordinary Drink,Collins glass,"['Powdered Sugar', 'Nutmeg', 'Milk']",cream,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.
Rum Old-fashioned,Ordinary Drink,Old-fashioned glass,"['Powdered Sugar', 'Lime Peel', 'Water']",water,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve."
Rum Punch,Punch / Party Drink,Punch bowl,"['Orange Juice Frozen', 'Ginger Ale', 'Fruit Punch Frozen']",sweet,Mix all ingredients in a punch bowl and serve.
Rum Runner,Punch / Party Drink,Cocktail glass,"['Orange Juice', 'Pineapple Juice', 'Cranberry Juice']",sour,Mix all ingredients in glass & add ice.
Rum Screwdriver,Ordinary Drink,Highball glass,['Orange Juice'],sweet,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve."
Rum Sour,Ordinary Drink,Whiskey sour glass,"['Sugar Superfine', 'Lemon Juice', 'Maraschino Cherry', 'Orange']",sweet,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Rum Toddy,Ordinary Drink,Old-fashioned glass,"['Powdered Sugar', 'Lemon Peel', 'Water']",water,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.
Russian Spring Punch,Ordinary Drink,Highball glass,"['Lemon Juice', 'Sugar Syrup']",sweet,"Pour the ingredients into an highball glass, top with Sparkling wine."
Rusty Nail,Ordinary Drink,Old-fashioned glass,['Lemon Peel'],sour,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
Salty Dog,Ordinary Drink,Highball glass,"['Salt', 'Grapefruit Juice']",bitter,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)"
San Francisco,Ordinary Drink,Highball glass,"['Orange Juice', 'Grenadine']",sweet,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry."
Sangria #1,Punch / Party Drink,Pitcher,"['Orange Juice', 'Cinnamon', 'Cloves', 'Lemon Juice', 'Sugar']",sweet,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
Sangria - The World's Best,Punch / Party Drink,Pitcher,"['Orange', 'Soda Water', 'Apple', 'Lemon', 'Sugar']",sweet,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses."
Sazerac,Ordinary Drink,Old-fashioned glass,"['Water', 'Lemon Peel', 'Sugar Superfine']",sweet,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish."
Scooter,Ordinary Drink,Cocktail glass,['Light Cream'],cream,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve."
Scotch Cobbler,Ordinary Drink,Old-fashioned glass,"['Mint', 'Orange']",sweet,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve."
Scotch Sour,Ordinary Drink,Whiskey sour glass,"['Powdered Sugar', 'Lime', 'Lemon', 'Cherry']",sweet,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve."
Screwdriver,Ordinary Drink,Highball glass,['Orange Juice'],sweet,Mix in a highball glass with ice. Garnish and serve.
Sea breeze,Ordinary Drink,Highball glass,"['Grapefruit Juice', 'Cranberry Juice']",sour,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.
Sex on the Beach,Ordinary Drink,Highball glass,"['Grapefruit Juice', 'Cranberry Juice']",sour,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.
Shanghai Cocktail,Ordinary Drink,Cocktail glass,"['Lemon', 'Grenadine', 'Anisette']",spicy,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Shark Attack,Cocktail,Pitcher,"['Lemonade', 'Water']",water,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
Sherry Eggnog,Ordinary Drink,Collins glass,"['Sherry Cream', 'Powdered Sugar', 'Egg', 'Milk', 'Nutmeg']",spicy,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve."
Sherry Flip,Ordinary Drink,Whiskey sour glass,"['Light Cream', 'Powdered Sugar', 'Sherry Cream', 'Nutmeg', 'Egg']",egg,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
Sidecar,Ordinary Drink,Cocktail glass,['Lemon Juice'],sour,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.
Sidecar Cocktail,Ordinary Drink,Cocktail glass,['Lemon'],sour,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Singapore Sling,Ordinary Drink,Hurricane glass,"['Grenadine', 'Cherry', 'Carbonated Water', 'Sweet And Sour']",sweet,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.
Smut,Punch / Party Drink,Beer mug,"['Orange Juice', 'Pepsi Cola']",sweet,Throw it all together and serve real cold.
Snakebite and Black,Beer,Pint glass,['Blackcurrant Squash'],sweet,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.
Snowball,Ordinary Drink,Highball glass,"['Lemon', 'Lemonade Cold']",sour,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
Sol Y Sombra,Ordinary Drink,Brandy snifter,['Anisette'],spicy,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
Space Odyssey,Ordinary Drink,Highball glass,"['Grenadine', 'Cherries', 'Pineapple Juice', 'Orange Juice']",sweet,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.
Spritz,Ordinary Drink,Old-Fashioned glass,['Soda Water'],sweet,"Build into glass over ice, garnish and serve."
Stone Sour,Ordinary Drink,Whiskey sour glass,"['Sweet And Sour', 'Orange Juice']",sweet,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
Strawberry Daiquiri,Ordinary Drink,Cocktail glass,"['Strawberries', 'Powdered Sugar', 'Lime Juice']",sour,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Strawberry Margarita,Ordinary Drink,Cocktail glass,"['Strawberries', 'Lemon Juice', 'Salt']",salty,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve."
Sunny Holiday Punch,Punch / Party Drink,Punch bowl,"['Berries', 'Orange Juice Frozen', 'Pineapple Juice', 'Club Soda', 'Lemon']",sour,Combine all ingredients in a punch bowl.
Swedish Coffee,Coffee / Tea,Coffee Mug,['Coffee'],bitter,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning)
Sweet Tooth,Milk / Float / Shake,Highball Glass,['Milk'],cream,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like."
Talos Coffee,Coffee / Tea,Brandy snifter,['Coffee'],bitter,Add your GM and then add your coffee.
Tennesee Mud,Coffee / Tea,Coffee Mug,"['Whipped Cream', 'Coffee']",bitter,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top."
Tequila Fizz,Ordinary Drink,Collins glass,"['Egg White', 'Grenadine', 'Lemon Juice', 'Ginger Ale']",sweet,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve."
Tequila Sour,Ordinary Drink,Whiskey sour glass,"['Lemon', 'Powdered Sugar', 'Cherry', 'Lemon']",sour,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve."
Tequila Sunrise,Cocktail,Highball glass,"['Orange Juice', 'Grenadine']",sweet,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
Tequila Surprise,Shot,Shot glass,['Tabasco Sauce'],spicy,Fill shot glass with Tequila. Add drops of Tobasco sauce.
Texas Rattlesnake,Shot,Highball glass,['Sweet And Sour'],sweet,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end..."
Texas Sling,Milk / Float / Shake,Wine Glass,['Cream'],cream,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream."
Thriller,Ordinary Drink,Cocktail glass,['Orange Juice'],sweet,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Tom Collins,Ordinary Drink,Collins glass,"['Club Soda', 'Lemon Juice', 'Maraschino Cherry', 'Orange', 'Sugar Superfine']",sweet,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
Tommy's Margarita,Ordinary Drink,Old-Fashioned glass,"['Lime Juice', 'Agave Syrup']",sweet,Shake and strain into a chilled cocktail glass.
Turf Cocktail,Ordinary Drink,Cocktail glass,"['Orange Peel', 'Anis']",spicy,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.
Turkeyball,Shot,Shot glass,['Pineapple Juice'],sweet,Shake with ice and strain into a shot glass.
Tuxedo Cocktail,Ordinary Drink,Cocktail glass,"['Anis', 'Cherry']",sweet,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.
Valencia Cocktail,Ordinary Drink,Cocktail glass,['Orange Juice'],sweet,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Vampiro,Ordinary Drink,Old-Fashioned glass,"['Tomato Juice', 'Sugar Syrup', 'Salt', 'Orange Juice', 'Lime Juice']",sour,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended."
Van Vleet,Ordinary Drink,Old-fashioned glass,"['Lemon Juice', 'Maple Syrup']",sweet,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
Vermouth Cassis,Ordinary Drink,Highball glass,['Carbonated Water'],water,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve."
Vesuvio,Ordinary Drink,Old-fashioned glass,"['Egg White', 'Powdered Sugar', 'Lemon']",sour,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
Victory Collins,Ordinary Drink,Collins glass,"['Grape Juice Unsweetened', 'Lemon Juice', 'Powdered Sugar', 'Orange']",sweet,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.
Vodka And Tonic,Ordinary Drink,Highball glass,['Tonic Water'],water,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve."
Vodka Fizz,Other/Unknown,White wine glass,"['Half-And-Half', 'Limeade', 'Nutmeg']",spicy,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top."
Vodka Martini,Ordinary Drink,Cocktail glass,['Olive'],salty,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
Vodka Russian,Ordinary Drink,Collins Glass,['Schweppes Russchian'],bitter,Mix it as a ordinary drink .
Waikiki Beachcomber,Ordinary Drink,Cocktail glass,['Pineapple Juice'],sweet,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Whiskey Sour,Ordinary Drink,Old-fashioned glass,"['Lemon', 'Lemon', 'Cherry', 'Powdered Sugar']",sweet,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
White Lady,Ordinary Drink,Cocktail glass,['Lemon Juice'],sour,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.
White Russian,Ordinary Drink,Old-fashioned glass,"['Light Cream', 'Coffee Liqueur']",bitter,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
Whitecap Margarita,Other/Unknown,Margarita/Coupette glass,"['Lime Juice Fresh', 'Cream Of Coconut']",cream,Place all ingredients in a blender and blend until smooth. This makes one drink.
Wine Cooler,Punch / Party Drink,Collins Glass,['Lemon-Lime Soda'],sweet,Mix wine and soft drink. Pour into glass. Add ice.
Wine Punch,Punch / Party Drink,Collins Glass,"['Orange', 'Lemon', 'Pineapple Juice', 'Orange Juice']",sweet,Combine all of the ingredients and pour over a block of ice.
Yellow Bird,Cocktail,Cocktail glass,['Lime Juice'],sour,Shake and strain into a chilled cocktail glass
Zambeer,Soft Drink / Soda,Collins Glass,['Root Beer'],sweet,Mix sambuca with rootbeer and stir. Add ice
Zenmeister,Ordinary Drink,Collins Glass,['Root Beer'],sweet,Mix together and enjoy
Ziemes Martini Apfelsaft,Ordinary Drink,Collins Glass,['Apple Juice'],sweet,Serve without ice. At least the juice shold have room temperature.
Zinger,Soft Drink / Soda,Highball glass,['Surge'],sweet,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.
Zipperhead,Shot,Whiskey sour glass,['Soda Water'],sweet,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top)."
Zippy's Revenge,Cocktail,Old-fashioned glass,['Kool-Aid Grape'],sweet,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold
Zizi Coin-coin,Punch / Party Drink,Margarita/Coupette glass,"['Lemon Juice', 'Lemon']",sour,"Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass."
